References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell,LCSC,JLC Assembly
Y1,1,24MHz Crystal_SMD_EuroQuartz_X22-4Pin_5x3.2mm,,ECS-5032MV-240-CN-TR,,,,520-5032MV-240-CNT,,,,,
"FB1, FB2",2,FerriteBead L_0805_2012Metric,Fair-Rite,2508051017Y0,,2508051017Y0,1934-1435-1-ND,6232508051017Y0,,,1781234,,
Module1,2,ComputeModule4 Raspberry-Pi-4-Compute-Module-noholes,Hirose,DF40C-100DS-0.4V(51),,DF40C-100DS-0.4V(51),H11615TR-ND,798DF40C100DS0.4V51,,,2427679,,
Q1,1,DMP3013SFV-7 Diodes_PowerDI3333-8,Diodes Inc.,DMP3013SFV-7,,DMP3013SFV-7,DMP3013SFV-7DITR-ND,621DMP3013SFV7,,,3405192,,
"J5, J6",2,USB_A USB_A_Molex_67643_Horizontal,Molex,67643-0910,,67643-0910,WM4993-ND,538676430910,8006839,,1450206,,
"J8, J9",2,Conn_01x22_Female Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal,,FH12-22S-0.5SH(55),,FH12-22S-0.5SH(55),HFJ122CT-ND,798FH1222S0.5SH55,7727049,,,,
"J10, J11",2,HDMI_C_1.4 EDAC 690-019-298-412,EDAC,690-019-298-412,,208658-1051,,5382086581051,,,,,
"J13, J14",2,Conn_01x03 PinHeader_1x03_P2.54mm_Vertical,,61300311121,,,,71061300311121,,,,,
J1,1,Conn_01x02 TerminalBlock_bornier-2_P5.08mm,,OQ0254500000G,,,,649OQ02545000J0G,,,,,
J2,1,Bus_M.2_Socket_B Conn_TE-M.2-0.5-67P-doublesided,TE Connectivity,2199230-4,,2199230-4,A115904DKR-ND,57121992304,2411331,,3398678,,
J3,1,USB_OTG USB_Micro-B_EDAC_UCON00686,,USB3505-30-A,,,,640USB350530A,,,,,
J4,1,Conn_01x04_Male PinHeader_1x04_P2.00mm_Horizontal,,SQT-104-01-F-S-RA,,,,200SQT10401FSRA,,,,,
J7,1,USB_MICRO USB_Micro-B_EDAC_UCON00686,,47346-0001,,,,538-47346-0001,,,,,
J12,1,nRpiBoot PinHeader_1x02_P1.00mm_Vertical,,,,,,,,,,,
J15,1,AudioOUT Jack_3.5mm_PJ311_Horizontal,,SJ-43516-SMT-TR,,,,490SJ43515RSSMTTR,,,,,
J16,1,Micro_SD_Card_Det SDCARD_MOLEX_503398-1892,Molex,503398-1892,,503398-1892,WM11190CT-ND,5385033981892,8801277P,,2358234,,
J17,1,THD-20-R PinHeader_2x20_P2.54mm_Vertical,Hirose,68683-220LF,,,,64968683220LF,,,,,
J18,1,GLOBAL_EN PinHeader_1x02_P1.00mm_Vertical,,,,,,,,,,,
J19,1,AudioAMP PinHeader_1x04_P2.00mm_Horizontal,,M20-9990446,,,,855M209990446,,,,,
